"Text","Proform","Antecedent"
"The city councilmen refused the demonstrators a permit because they feared violence.","they","The city councilmen"
"The city councilmen refused the demonstrators a permit because they advocated violence","they","the demonstrators"
"The trophy doesn't fit into the brown suitcase because it is too large","it","The trophy"
"The trophy doesn't fit into the brown suitcase because it is too small","it","the brown suitcase"
"Joan made sure to thank Susan for all the help she had received","she","Joan"
"Joan made sure to thank Susan for all the help she had given","she","Susan"
"Paul tried to call George on the phone, but he wasn't successful","he","Paul"
"Paul tried to call George on the phone, but he wasn't available","he","George"
"The lawyer asked the witness a question, but he was reluctant to repeat it","he","The lawyer"
"The lawyer asked the witness a question, but he was reluctant to answer it","he","the witness"
"The delivery truck zoomed by the school bus because it was going so fast","it","The delivery truck"
"The delivery truck zoomed by the school bus because it was going so slow","it","the school bus"
"Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition","he","Frank"
"Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition","he","Bill"
"The man couldn't lift his son because he was so weak","he","The man"
"The man couldn't lift his son because he was so heavy","he","his son"
"The large ball crashed right through the table because it was made of steel","it","The large ball"
"The large ball crashed right through the table because it was mdae of styrofoam","it","the table"
"John couldn't see the stage with Billy in front of him because he is so short","he","John"
"John couldn't see the stage with Billy in front of him because he is so tall","he","Billy"
"Tom threw his schoolbag down to Ray after he reached the top of the stairs","he","Tom"
"Tom threw his schoolbag down to Ray after he reached the bottom of the stairs","he","Ray"
"Although they ran at about the same speed, Sue beat Sally because she had such a good start","she","Sue"
"Although they ran at about the same speed, Sue beat Sally because she had such a bad start","she","Sally"
"The sculpture rolled off the shelf because it wasn't anchored","it","The sculpture"
"The sculpture rolled off the shelf because it wasn't level","it","the shelf"
"Sam's drawing was hung just above Tina's and it did look much better with another one below it","it","Sam's drawing"
"Sam's drawing was hung just above Tina's and it did look much better with another one above it","it","Tina's drawing"
"Anna did a lot better than her good friend Lucy on the test because she had studied so hard","she","Anna"
"Anna did a lot worse than her good friend Lucy on the test because she had studied so hard","she","Lucy"
"The firemen arrived after the police because they were coming from so far away","they","The firemen"
"The firemen arrived before the police because they were coming from so far away","they","the police"
"Frank was upset with Tom because the toaster he had bought from him didn't work","he","Frank"
"Frank was upset with Tom because the toaster he had sold him didn't work","he","Tom"
"Jim yelled at Kevin because he was so upset","he","Jim"
"Jim comforted Kevin because he was so upset","he","Kevin"
"The sack of potatoes had been placed above the bag of flour, so it had to be moved first","it","The sack of potatoes"
"The sack of potatoes had been placed below the bag of flour, so it had to be moved first","it","the bag of flour"
"Pete envies Martin although he is very successful","he","Pete"
"Pete envies Martin because he is very successful","he","Martin"
"The older students were bullying the younger ones, so we punished them","them","The older students"
"The older students were bullying the younger ones, so we rescued them","them","the younger ones"
"I poured water from the bottle into the cup until it was empty","it","the bottle"
"I poured water from the bottle into the cup until it was full","it","the cup"
"Susan knows all about Ann's personal problems because she is nosy","she","Susan"
"Susan knows all about Ann's personal problems because she is indiscreet","she","Ann"
